iso639-3,url,iso639-2/iso639-5,iso639-2,iso639-5,iso639-1,name,type,status,member of macro language,member of MARC collective code,iso639-3
geh,https://iso639-3.sil.org/code/geh,,,,,"Hutterisch, Hutterite German",Individual,Living,,gem,geh
gei,https://iso639-3.sil.org/code/gei,,,,,Gebe,Individual,Living,,map,gei
gej,https://iso639-3.sil.org/code/gej,,,,,Gen,Individual,Living,,nic,gej
gek,https://iso639-3.sil.org/code/gek,,,,,Ywom,Individual,Living,,afa,gek
gel,https://iso639-3.sil.org/code/gel,,,,,ut-Ma'in,Individual,Living,,nic,gel
,https://iso639-3.sil.org/code/gem,gem,gem,gem,,Germanic languages,Collective,Genetic,,,
geq,https://iso639-3.sil.org/code/geq,,,,,Geme,Individual,Living,znd,,geq
ges,https://iso639-3.sil.org/code/ges,,,,,Geser-Gorom,Individual,Living,,map,ges
gev,https://iso639-3.sil.org/code/gev,,,,,Eviya,Individual,Living,,bnt,gev
gew,https://iso639-3.sil.org/code/gew,,,,,Gera,Individual,Living,,afa,gew
gex,https://iso639-3.sil.org/code/gex,,,,,Garre,Individual,Living,,cus,gex
gey,https://iso639-3.sil.org/code/gey,,,,,Enya,Individual,Living,,bnt,gey
gez,https://iso639-3.sil.org/code/gez,gez,gez,,,Geez,Individual,Ancient,,,gez
gfk,https://iso639-3.sil.org/code/gfk,,,,,Patpatar,Individual,Living,,map,gfk
gft,https://iso639-3.sil.org/code/gft,,,,,Gafat,Individual,Extinct,,sem,gft
gga,https://iso639-3.sil.org/code/gga,,,,,Gao,Individual,Living,,map,gga
ggb,https://iso639-3.sil.org/code/ggb,,,,,Gbii,Individual,Living,kro,,ggb
ggd,https://iso639-3.sil.org/code/ggd,,,,,Gugadj,Individual,Extinct,,aus,ggd
gge,https://iso639-3.sil.org/code/gge,,,,,"Guragone, Gurr-goni",Individual,Living,,aus,gge
ggg,https://iso639-3.sil.org/code/ggg,,,,,Gurgula,Individual,Living,,inc,ggg
ggk,https://iso639-3.sil.org/code/ggk,,,,,Kungarakany,Individual,Extinct,,aus,ggk
ggl,https://iso639-3.sil.org/code/ggl,,,,,Ganglau,Individual,Living,,paa,ggl
ggt,https://iso639-3.sil.org/code/ggt,,,,,Gitua,Individual,Living,,map,ggt
ggu,https://iso639-3.sil.org/code/ggu,,,,,"Gagu, Gban",Individual,Living,,nic,ggu
ggw,https://iso639-3.sil.org/code/ggw,,,,,Gogodala,Individual,Living,,paa,ggw
gha,https://iso639-3.sil.org/code/gha,,,,,Ghadamäs,Individual,Living,,ber,gha
ghc,https://iso639-3.sil.org/code/ghc,,,,,Hiberno-Scottish Gaelic,Individual,Historical,,,ghc
ghe,https://iso639-3.sil.org/code/ghe,,,,,Southern Ghale,Individual,Living,,sit,ghe
ghh,https://iso639-3.sil.org/code/ghh,,,,,Northern Ghale,Individual,Living,,sit,ghh
ghk,https://iso639-3.sil.org/code/ghk,,,,,Geko Karen,Individual,Living,,kar,ghk
ghl,https://iso639-3.sil.org/code/ghl,,,,,Ghulfan,Individual,Living,,nub,ghl
ghn,https://iso639-3.sil.org/code/ghn,,,,,Ghanongga,Individual,Living,,map,ghn
gho,https://iso639-3.sil.org/code/gho,,,,,Ghomara,Individual,Extinct,,ber,gho
ghr,https://iso639-3.sil.org/code/ghr,,,,,Ghera,Individual,Living,,inc,ghr
ghs,https://iso639-3.sil.org/code/ghs,,,,,Guhu-Samane,Individual,Living,,paa,ghs
ght,https://iso639-3.sil.org/code/ght,,,,,"Kuke, Kutang Ghale",Individual,Living,,sit,ght
gia,https://iso639-3.sil.org/code/gia,,,,,"Kija, Kitja",Individual,Living,,aus,gia
gib,https://iso639-3.sil.org/code/gib,,,,,Gibanawa,Individual,Living,,crp,gib
gic,https://iso639-3.sil.org/code/gic,,,,,Gail,Individual,Living,,cpe,gic
gid,https://iso639-3.sil.org/code/gid,,,,,Gidar,Individual,Living,,afa,gid
gie,https://iso639-3.sil.org/code/gie,,,,,"Ga?ogbo, GuÇbie",Individual,Living,,kro,gie
gig,https://iso639-3.sil.org/code/gig,,,,,Goaria,Individual,Living,,inc,gig
gih,https://iso639-3.sil.org/code/gih,,,,,Githabul,Individual,Living,,aus,gih
gil,https://iso639-3.sil.org/code/gil,gil,gil,,,Gilbertese,Individual,Living,,,gil
gim,https://iso639-3.sil.org/code/gim,,,,,Gimi (Eastern Highlands),Individual,Living,,paa,gim
gin,https://iso639-3.sil.org/code/gin,,,,,Hinukh,Individual,Living,,cau,gin
gip,https://iso639-3.sil.org/code/gip,,,,,Gimi (West New Britain),Individual,Living,,paa,gip
giq,https://iso639-3.sil.org/code/giq,,,,,Green Gelao,Individual,Living,,und,giq
gir,https://iso639-3.sil.org/code/gir,,,,,Red Gelao,Individual,Living,,und,gir
gis,https://iso639-3.sil.org/code/gis,,,,,North Giziga,Individual,Living,,afa,gis
git,https://iso639-3.sil.org/code/git,,,,,Gitxsan,Individual,Living,,nai,git
giu,https://iso639-3.sil.org/code/giu,,,,,Mulao,Individual,Living,,und,giu
giw,https://iso639-3.sil.org/code/giw,,,,,White Gelao,Individual,Living,,und,giw
gix,https://iso639-3.sil.org/code/gix,,,,,Gilima,Individual,Living,,bnt,gix
giy,https://iso639-3.sil.org/code/giy,,,,,Giyug,Individual,Living,,aus,giy
giz,https://iso639-3.sil.org/code/giz,,,,,South Giziga,Individual,Living,,afa,giz
gji,https://iso639-3.sil.org/code/gji,,,,,Geji,Individual,Living,,afa,gji
gjk,https://iso639-3.sil.org/code/gjk,,,,,Kachi Koli,Individual,Living,,inc,gjk
gjm,https://iso639-3.sil.org/code/gjm,,,,,Gunditjmara,Individual,Extinct,,aus,gjm
gjn,https://iso639-3.sil.org/code/gjn,,,,,Gonja,Individual,Living,,nic,gjn
gjr,https://iso639-3.sil.org/code/gjr,,,,,Gurindji Kriol,Individual,Living,,cpe,gjr
gju,https://iso639-3.sil.org/code/gju,,,,,Gujari,Individual,Living,raj,,gju
gka,https://iso639-3.sil.org/code/gka,,,,,Guya,Individual,Living,,paa,gka
gkd,https://iso639-3.sil.org/code/gkd,,,,,Mag? (Madang Province),Individual,Living,,paa,gkd
gke,https://iso639-3.sil.org/code/gke,,,,,Ndai,Individual,Living,,nic,gke
gkn,https://iso639-3.sil.org/code/gkn,,,,,Gokana,Individual,Living,,nic,gkn
gko,https://iso639-3.sil.org/code/gko,,,,,Kok-Nar,Individual,Extinct,,aus,gko
gkp,https://iso639-3.sil.org/code/gkp,,,,,Guinea Kpelle,Individual,Living,kpe,,gkp
gku,https://iso639-3.sil.org/code/gku,,,,,?Ungkue,Individual,Extinct,,khi,gku
gla,https://iso639-3.sil.org/code/gla,gla,gla,,gd,"Gaelic, Scottish Gaelic",Individual,Living,,,gla
glc,https://iso639-3.sil.org/code/glc,,,,,Bon Gula,Individual,Living,,nic,glc
gld,https://iso639-3.sil.org/code/gld,,,,,Nanai,Individual,Living,,tut,gld
gle,https://iso639-3.sil.org/code/gle,gle,gle,,ga,Irish,Individual,Living,,,gle
glg,https://iso639-3.sil.org/code/glg,glg,glg,,gl,Galician,Individual,Living,,,glg
glh,https://iso639-3.sil.org/code/glh,,,,,"Northwest Pashai, Northwest Pashayi",Individual,Living,,inc,glh
glj,https://iso639-3.sil.org/code/glj,,,,,Gula Iro,Individual,Living,,nic,glj
glk,https://iso639-3.sil.org/code/glk,,,,,Gilaki,Individual,Living,,ira,glk
gll,https://iso639-3.sil.org/code/gll,,,,,Garlali,Individual,Extinct,,aus,gll
glo,https://iso639-3.sil.org/code/glo,,,,,Galambu,Individual,Living,,afa,glo
glr,https://iso639-3.sil.org/code/glr,,,,,Glaro-Twabo,Individual,Living,,kro,glr
glu,https://iso639-3.sil.org/code/glu,,,,,Gula (Chad),Individual,Living,,ssa,glu
glv,https://iso639-3.sil.org/code/glv,glv,glv,,gv,Manx,Individual,Living,,,glv
glw,https://iso639-3.sil.org/code/glw,,,,,Glavda,Individual,Living,,afa,glw
gly,https://iso639-3.sil.org/code/gly,,,,,Gule,Individual,Extinct,,ssa,gly
gma,https://iso639-3.sil.org/code/gma,,,,,Gambera,Individual,Extinct,,aus,gma
gmb,https://iso639-3.sil.org/code/gmb,,,,,Gula'alaa,Individual,Living,,map,gmb
gmd,https://iso639-3.sil.org/code/gmd,,,,,M†ghdç,Individual,Living,,nic,gmd
,https://iso639-3.sil.org/code/gme,gme,,gme,,East Germanic languages,Collective,Genetic,,,
gmg,https://iso639-3.sil.org/code/gmg,,,,,Mag?yi,Individual,Living,,paa,gmg
gmh,https://iso639-3.sil.org/code/gmh,gmh,gmh,,,Middle High German (ca. 1050-1500),Individual,Historical,,,gmh
gml,https://iso639-3.sil.org/code/gml,,,,,Middle Low German,Individual,Historical,,gem,gml
gmm,https://iso639-3.sil.org/code/gmm,,,,,Gbaya-Mbodomo,Individual,Living,gba,,gmm
gmn,https://iso639-3.sil.org/code/gmn,,,,,Gimnime,Individual,Living,,nic,gmn
,https://iso639-3.sil.org/code/gmq,gmq,,gmq,,North Germanic languages,Collective,Genetic,,,
gmr,https://iso639-3.sil.org/code/gmr,,,,,"Mirning, Mirniny",Individual,Living,,sit,gmr
gmu,https://iso639-3.sil.org/code/gmu,,,,,Gumalu,Individual,Living,,paa,gmu
gmv,https://iso639-3.sil.org/code/gmv,,,,,Gamo,Individual,Living,,afa,gmv
,https://iso639-3.sil.org/code/gmw,gmw,,gmw,,West Germanic languages,Collective,Genetic,,,
gmx,https://iso639-3.sil.org/code/gmx,,,,,Magoma,Individual,Living,,bnt,gmx
gmy,https://iso639-3.sil.org/code/gmy,,,,,Mycenaean Greek,Individual,Ancient,,ine,gmy
gmz,https://iso639-3.sil.org/code/gmz,,,,,Mgbolizhia,Individual,Living,,nic,gmz
gna,https://iso639-3.sil.org/code/gna,,,,,Kaansa,Individual,Living,,nic,gna
gnb,https://iso639-3.sil.org/code/gnb,,,,,Gangte,Individual,Living,,sit,gnb
gnc,https://iso639-3.sil.org/code/gnc,,,,,Guanche,Individual,Extinct,,und,gnc
gnd,https://iso639-3.sil.org/code/gnd,,,,,Zulgo-Gemzek,Individual,Living,,afa,gnd
gne,https://iso639-3.sil.org/code/gne,,,,,Ganang,Individual,Living,,nic,gne
gng,https://iso639-3.sil.org/code/gng,,,,,Ngangam,Individual,Living,,nic,gng
gnh,https://iso639-3.sil.org/code/gnh,,,,,Lere,Individual,Living,,nic,gnh
gni,https://iso639-3.sil.org/code/gni,,,,,Gooniyandi,Individual,Living,,aus,gni
gnj,https://iso639-3.sil.org/code/gnj,,,,,Ngen,Individual,Living,,nic,gnj
gnk,https://iso639-3.sil.org/code/gnk,,,,,"//Gana, ||Gana, ?Gana",Individual,Living,,khi,gnk
gnl,https://iso639-3.sil.org/code/gnl,,,,,Gangulu,Individual,Extinct,,aus,gnl
gnm,https://iso639-3.sil.org/code/gnm,,,,,Ginuman,Individual,Living,,paa,gnm
gnn,https://iso639-3.sil.org/code/gnn,,,,,Gumatj,Individual,Living,,aus,gnn
gno,https://iso639-3.sil.org/code/gno,,,,,Northern Gondi,Individual,Living,gon,,gno
gnq,https://iso639-3.sil.org/code/gnq,,,,,Gana,Individual,Living,,map,gnq
gnr,https://iso639-3.sil.org/code/gnr,,,,,Gureng Gureng,Individual,Extinct,,aus,gnr
gnt,https://iso639-3.sil.org/code/gnt,,,,,Guntai,Individual,Living,,paa,gnt
gnu,https://iso639-3.sil.org/code/gnu,,,,,Gnau,Individual,Living,,paa,gnu
gnw,https://iso639-3.sil.org/code/gnw,,,,,Western Bolivian Guaran°,Individual,Living,grn,grn,gnw
gnz,https://iso639-3.sil.org/code/gnz,,,,,Ganzi,Individual,Living,,bnt,gnz
goa,https://iso639-3.sil.org/code/goa,,,,,Guro,Individual,Living,,nic,goa
gob,https://iso639-3.sil.org/code/gob,,,,,Playero,Individual,Living,,sai,gob
goc,https://iso639-3.sil.org/code/goc,,,,,Gorakor,Individual,Living,,paa,goc
god,https://iso639-3.sil.org/code/god,,,,,GodiÇ,Individual,Living,,kro,god
goe,https://iso639-3.sil.org/code/goe,,,,,Gongduk,Individual,Living,,sit,goe
gof,https://iso639-3.sil.org/code/gof,,,,,Gofa,Individual,Living,,afa,gof
gog,https://iso639-3.sil.org/code/gog,,,,,Gogo,Individual,Living,,bnt,gog
goh,https://iso639-3.sil.org/code/goh,goh,goh,,,Old High German (ca. 750-1050),Individual,Historical,,,goh
goi,https://iso639-3.sil.org/code/goi,,,,,Gobasi,Individual,Living,,paa,goi
goj,https://iso639-3.sil.org/code/goj,,,,,Gowlan,Individual,Living,,und,goj
gok,https://iso639-3.sil.org/code/gok,,,,,Gowli,Individual,Living,,und,gok
gol,https://iso639-3.sil.org/code/gol,,,,,Gola,Individual,Living,,nic,gol
gom,https://iso639-3.sil.org/code/gom,,,,,Goan Konkani,Individual,Living,kok,,gom
gon,https://iso639-3.sil.org/code/gon,gon,gon,,,Gondi,Macrolanguage,Living,,,gon
goo,https://iso639-3.sil.org/code/goo,,,,,Gone Dau,Individual,Living,,map,goo
gop,https://iso639-3.sil.org/code/gop,,,,,Yeretuar,Individual,Living,,paa,gop
goq,https://iso639-3.sil.org/code/goq,,,,,Gorap,Individual,Living,,crp,goq
gor,https://iso639-3.sil.org/code/gor,gor,gor,,,Gorontalo,Individual,Living,,,gor
gos,https://iso639-3.sil.org/code/gos,,,,,Gronings,Individual,Living,,gem,gos
got,https://iso639-3.sil.org/code/got,got,got,,,Gothic,Individual,Ancient,,,got
gou,https://iso639-3.sil.org/code/gou,,,,,Gavar,Individual,Living,,afa,gou
gow,https://iso639-3.sil.org/code/gow,,,,,Gorowa,Individual,Living,,cus,gow
gox,https://iso639-3.sil.org/code/gox,,,,,Gobu,Individual,Living,,bnt,gox
goy,https://iso639-3.sil.org/code/goy,,,,,Goundo,Individual,Living,,afa,goy
goz,https://iso639-3.sil.org/code/goz,,,,,Gozarkhani,Individual,Living,,ira,goz
gpa,https://iso639-3.sil.org/code/gpa,,,,,Gupa-Abawa,Individual,Living,,nic,gpa
gpe,https://iso639-3.sil.org/code/gpe,,,,,Ghanaian Pidgin English,Individual,Living,,cpe,gpe
gpn,https://iso639-3.sil.org/code/gpn,,,,,Taiap,Individual,Living,,paa,gpn
gqa,https://iso639-3.sil.org/code/gqa,,,,,Ga'anda,Individual,Living,,afa,gqa
gqi,https://iso639-3.sil.org/code/gqi,,,,,Guiqiong,Individual,Living,,sit,gqi
gqn,https://iso639-3.sil.org/code/gqn,,,,,Guana (Brazil),Individual,Extinct,,sai,gqn
gqr,https://iso639-3.sil.org/code/gqr,,,,,Gor,Individual,Living,,ssa,gqr
gqu,https://iso639-3.sil.org/code/gqu,,,,,Qau,Individual,Living,,und,gqu
gra,https://iso639-3.sil.org/code/gra,,,,,Rajput Garasia,Individual,Living,,inc,gra
grb,https://iso639-3.sil.org/code/grb,grb,grb,,,Grebo,Macrolanguage,Living,,,grb
grc,https://iso639-3.sil.org/code/grc,grc,grc,,,Ancient Greek (to 1453),Individual,Historical,,,grc
grd,https://iso639-3.sil.org/code/grd,,,,,Guruntum-Mbaaru,Individual,Living,,afa,grd
grg,https://iso639-3.sil.org/code/grg,,,,,Madi,Individual,Living,,paa,grg
grh,https://iso639-3.sil.org/code/grh,,,,,Gbiri-Niragu,Individual,Living,,nic,grh
gri,https://iso639-3.sil.org/code/gri,,,,,Ghari,Individual,Living,,map,gri
grj,https://iso639-3.sil.org/code/grj,,,,,Southern Grebo,Individual,Living,grb,,grj
,https://iso639-3.sil.org/code/grk,grk,,grk,,Greek languages,Collective,Genetic,,,
grm,https://iso639-3.sil.org/code/grm,,,,,Kota Marudu Talantang,Individual,Living,,map,grm
grn,https://iso639-3.sil.org/code/grn,grn,grn,,gn,Guarani,Macrolanguage,Living,,,grn
gro,https://iso639-3.sil.org/code/gro,,,,,Groma,Individual,Living,,sit,gro
grq,https://iso639-3.sil.org/code/grq,,,,,Gorovu,Individual,Living,,paa,grq
grr,https://iso639-3.sil.org/code/grr,,,,,Taznatit,Individual,Living,,ber,grr
grs,https://iso639-3.sil.org/code/grs,,,,,Gresi,Individual,Living,,paa,grs
grt,https://iso639-3.sil.org/code/grt,,,,,Garo,Individual,Living,,sit,grt
gru,https://iso639-3.sil.org/code/gru,,,,,Kistane,Individual,Living,,sem,gru
grv,https://iso639-3.sil.org/code/grv,,,,,Central Grebo,Individual,Living,grb,,grv
grw,https://iso639-3.sil.org/code/grw,,,,,Gweda,Individual,Living,,map,grw
grx,https://iso639-3.sil.org/code/grx,,,,,Guriaso,Individual,Living,,paa,grx
gry,https://iso639-3.sil.org/code/gry,,,,,Barclayville Grebo,Individual,Living,grb,,gry
grz,https://iso639-3.sil.org/code/grz,,,,,Guramalum,Individual,Living,,map,grz
gse,https://iso639-3.sil.org/code/gse,,,,,Ghanaian Sign Language,Individual,Living,,sgn,gse
gsg,https://iso639-3.sil.org/code/gsg,,,,,German Sign Language,Individual,Living,,sgn,gsg
gsl,https://iso639-3.sil.org/code/gsl,,,,,Gusilay,Individual,Living,,nic,gsl
gsm,https://iso639-3.sil.org/code/gsm,,,,,Guatemalan Sign Language,Individual,Living,,sgn,gsm
gsn,https://iso639-3.sil.org/code/gsn,,,,,"Gusan, Nema",Individual,Living,,paa,gsn
gso,https://iso639-3.sil.org/code/gso,,,,,Southwest Gbaya,Individual,Living,gba,,gso
gsp,https://iso639-3.sil.org/code/gsp,,,,,Wasembo,Individual,Living,,paa,gsp
gss,https://iso639-3.sil.org/code/gss,,,,,Greek Sign Language,Individual,Living,,sgn,gss
gsw,https://iso639-3.sil.org/code/gsw,gsw,gsw,,,"Alemannic, Alsatian, Swiss German",Individual,Living,,,gsw
gta,https://iso639-3.sil.org/code/gta,,,,,Guat¢,Individual,Living,,sai,gta
gtu,https://iso639-3.sil.org/code/gtu,,,,,Aghu-Tharnggala,Individual,Extinct,,aus,gtu
gua,https://iso639-3.sil.org/code/gua,,,,,Shiki,Individual,Living,,nic,gua
gub,https://iso639-3.sil.org/code/gub,,,,,Guajaj†ra,Individual,Living,,sai,gub
guc,https://iso639-3.sil.org/code/guc,,,,,Wayuu,Individual,Living,,sai,guc
gud,https://iso639-3.sil.org/code/gud,,,,,YocobouÇ Dida,Individual,Living,,kro,gud
gue,https://iso639-3.sil.org/code/gue,,,,,"Gurindji, Gurinji",Individual,Living,,aus,gue
guf,https://iso639-3.sil.org/code/guf,,,,,Gupapuyngu,Individual,Living,,aus,guf
gug,https://iso639-3.sil.org/code/gug,,,,,Paraguayan Guaran°,Individual,Living,grn,,gug
guh,https://iso639-3.sil.org/code/guh,,,,,Guahibo,Individual,Living,,sai,guh
gui,https://iso639-3.sil.org/code/gui,,,,,Eastern Bolivian Guaran°,Individual,Living,grn,,gui
guj,https://iso639-3.sil.org/code/guj,guj,guj,,gu,Gujarati,Individual,Living,,,guj
guk,https://iso639-3.sil.org/code/guk,,,,,Gumuz,Individual,Living,,ssa,guk
gul,https://iso639-3.sil.org/code/gul,,,,,Sea Island Creole English,Individual,Living,,cpe,gul
gum,https://iso639-3.sil.org/code/gum,,,,,Guambiano,Individual,Living,,sai,gum
gun,https://iso639-3.sil.org/code/gun,,,,,Mby† Guaran°,Individual,Living,grn,grn,gun
guo,https://iso639-3.sil.org/code/guo,,,,,Guayabero,Individual,Living,,sai,guo
gup,https://iso639-3.sil.org/code/gup,,,,,Gunwinggu,Individual,Living,,aus,gup
guq,https://iso639-3.sil.org/code/guq,,,,,AchÇ,Individual,Living,,sai,guq
gur,https://iso639-3.sil.org/code/gur,,,,,Farefare,Individual,Living,,nic,gur
gus,https://iso639-3.sil.org/code/gus,,,,,Guinean Sign Language,Individual,Living,,sgn,gus
gut,https://iso639-3.sil.org/code/gut,,,,,MalÇku Ja°ka,Individual,Living,,cai,gut
guu,https://iso639-3.sil.org/code/guu,,,,,Yanomamî,Individual,Living,,sai,guu
guw,https://iso639-3.sil.org/code/guw,,,,,Gun,Individual,Living,,nic,guw
gux,https://iso639-3.sil.org/code/gux,,,,,GourmanchÇma,Individual,Living,,nic,gux
guz,https://iso639-3.sil.org/code/guz,,,,,"Ekegusii, Gusii",Individual,Living,,bnt,guz
gva,https://iso639-3.sil.org/code/gva,,,,,Guana (Paraguay),Individual,Living,,sai,gva
gvc,https://iso639-3.sil.org/code/gvc,,,,,Guanano,Individual,Living,,sai,gvc
gve,https://iso639-3.sil.org/code/gve,,,,,Duwet,Individual,Living,,map,gve
gvf,https://iso639-3.sil.org/code/gvf,,,,,Golin,Individual,Living,,paa,gvf
gvj,https://iso639-3.sil.org/code/gvj,,,,,Guaj†,Individual,Living,,sai,gvj
gvl,https://iso639-3.sil.org/code/gvl,,,,,Gulay,Individual,Living,,ssa,gvl
gvm,https://iso639-3.sil.org/code/gvm,,,,,Gurmana,Individual,Living,,nic,gvm
gvn,https://iso639-3.sil.org/code/gvn,,,,,Kuku-Yalanji,Individual,Living,,aus,gvn
gvo,https://iso639-3.sil.org/code/gvo,,,,,Gavi?o Do Jiparan†,Individual,Living,,sai,gvo
gvp,https://iso639-3.sil.org/code/gvp,,,,,Par† Gavi?o,Individual,Living,,sai,gvp
gvr,https://iso639-3.sil.org/code/gvr,,,,,Gurung,Individual,Living,,sit,gvr
gvs,https://iso639-3.sil.org/code/gvs,,,,,Gumawana,Individual,Living,,map,gvs
gvy,https://iso639-3.sil.org/code/gvy,,,,,Guyani,Individual,Extinct,,aus,gvy
gwa,https://iso639-3.sil.org/code/gwa,,,,,Mbato,Individual,Living,,nic,gwa
gwb,https://iso639-3.sil.org/code/gwb,,,,,Gwa,Individual,Living,,bnt,gwb
gwc,https://iso639-3.sil.org/code/gwc,,,,,"Gawri, Kalami",Individual,Living,,inc,gwc
gwd,https://iso639-3.sil.org/code/gwd,,,,,Gawwada,Individual,Living,,cus,gwd
gwe,https://iso639-3.sil.org/code/gwe,,,,,Gweno,Individual,Living,,bnt,gwe
gwf,https://iso639-3.sil.org/code/gwf,,,,,Gowro,Individual,Living,,inc,gwf
gwg,https://iso639-3.sil.org/code/gwg,,,,,Moo,Individual,Living,,nic,gwg
gwi,https://iso639-3.sil.org/code/gwi,gwi,gwi,,,Gwich'in,Individual,Living,,,gwi
gwj,https://iso639-3.sil.org/code/gwj,,,,,"/Gwi, |Gwi, |Gwi",Individual,Living,,khi,gwj
gwm,https://iso639-3.sil.org/code/gwm,,,,,Awngthim,Individual,Extinct,,aus,gwm
gwn,https://iso639-3.sil.org/code/gwn,,,,,Gwandara,Individual,Living,,nic,gwn
gwr,https://iso639-3.sil.org/code/gwr,,,,,Gwere,Individual,Living,,bnt,gwr
gwt,https://iso639-3.sil.org/code/gwt,,,,,Gawar-Bati,Individual,Living,,inc,gwt
gwu,https://iso639-3.sil.org/code/gwu,,,,,Guwamu,Individual,Extinct,,aus,gwu
gww,https://iso639-3.sil.org/code/gww,,,,,Kwini,Individual,Living,,aus,gww
gwx,https://iso639-3.sil.org/code/gwx,,,,,Gua,Individual,Living,,nic,gwx
gxx,https://iso639-3.sil.org/code/gxx,,,,,Wä Southern,Individual,Living,,kro,gxx
gya,https://iso639-3.sil.org/code/gya,,,,,Northwest Gbaya,Individual,Living,gba,,gya
gyb,https://iso639-3.sil.org/code/gyb,,,,,Garus,Individual,Living,,paa,gyb
gyd,https://iso639-3.sil.org/code/gyd,,,,,Kayardild,Individual,Living,,aus,gyd
gye,https://iso639-3.sil.org/code/gye,,,,,Gyem,Individual,Living,,nic,gye
gyf,https://iso639-3.sil.org/code/gyf,,,,,Gungabula,Individual,Extinct,,aus,gyf
gyg,https://iso639-3.sil.org/code/gyg,,,,,Gbayi,Individual,Living,,bnt,gyg
gyi,https://iso639-3.sil.org/code/gyi,,,,,Gyele,Individual,Living,,bnt,gyi
gyl,https://iso639-3.sil.org/code/gyl,,,,,Gayil,Individual,Living,,afa,gyl
gym,https://iso639-3.sil.org/code/gym,,,,,NgÑbere,Individual,Living,,cai,gym
gyn,https://iso639-3.sil.org/code/gyn,,,,,Guyanese Creole English,Individual,Living,,cpe,gyn
gyo,https://iso639-3.sil.org/code/gyo,,,,,Gyalsumdo,Individual,Living,,sit,gyo
gyr,https://iso639-3.sil.org/code/gyr,,,,,Guarayu,Individual,Living,,tup,gyr
gyy,https://iso639-3.sil.org/code/gyy,,,,,Gunya,Individual,Extinct,,aus,gyy
gza,https://iso639-3.sil.org/code/gza,,,,,Ganza,Individual,Living,,afa,gza
gzi,https://iso639-3.sil.org/code/gzi,,,,,Gazi,Individual,Living,,ira,gzi
gzn,https://iso639-3.sil.org/code/gzn,,,,,Gane,Individual,Living,,map,gzn
haa,https://iso639-3.sil.org/code/haa,,,,,Han,Individual,Living,,ath,haa
hab,https://iso639-3.sil.org/code/hab,,,,,Hanoi Sign Language,Individual,Living,,sgn,hab
hac,https://iso639-3.sil.org/code/hac,,,,,Gurani,Individual,Living,,ira,hac
had,https://iso639-3.sil.org/code/had,,,,,Hatam,Individual,Living,,paa,had
hae,https://iso639-3.sil.org/code/hae,,,,,Eastern Oromo,Individual,Living,orm,,hae
haf,https://iso639-3.sil.org/code/haf,,,,,Haiphong Sign Language,Individual,Living,,sgn,haf
hag,https://iso639-3.sil.org/code/hag,,,,,Hanga,Individual,Living,,nic,hag
hah,https://iso639-3.sil.org/code/hah,,,,,Hahon,Individual,Living,,map,hah
hai,https://iso639-3.sil.org/code/hai,hai,hai,,,Haida,Macrolanguage,Living,,,hai
haj,https://iso639-3.sil.org/code/haj,,,,,Hajong,Individual,Living,,inc,haj
hak,https://iso639-3.sil.org/code/hak,,,,,Hakka Chinese,Individual,Living,zho,,hak
hal,https://iso639-3.sil.org/code/hal,,,,,Halang,Individual,Living,,mkh,hal
ham,https://iso639-3.sil.org/code/ham,,,,,Hewa,Individual,Living,,paa,ham
han,https://iso639-3.sil.org/code/han,,,,,Hangaza,Individual,Living,,bnt,han
hao,https://iso639-3.sil.org/code/hao,,,,,Hakî,Individual,Living,,map,hao
hap,https://iso639-3.sil.org/code/hap,,,,,Hupla,Individual,Living,,paa,hap
haq,https://iso639-3.sil.org/code/haq,,,,,Ha,Individual,Living,,bnt,haq
har,https://iso639-3.sil.org/code/har,,,,,Harari,Individual,Living,,sem,har
has,https://iso639-3.sil.org/code/has,,,,,Haisla,Individual,Living,,wak,has
hat,https://iso639-3.sil.org/code/hat,hat,hat,,ht,"Haitian, Haitian Creole",Individual,Living,,,hat
hau,https://iso639-3.sil.org/code/hau,hau,hau,,ha,Hausa,Individual,Living,,,hau
hav,https://iso639-3.sil.org/code/hav,,,,,Havu,Individual,Living,,bnt,hav
haw,https://iso639-3.sil.org/code/haw,haw,haw,,,Hawaiian,Individual,Living,,,haw
hax,https://iso639-3.sil.org/code/hax,,,,,Southern Haida,Individual,Living,hai,,hax
hay,https://iso639-3.sil.org/code/hay,,,,,Haya,Individual,Living,,bnt,hay
haz,https://iso639-3.sil.org/code/haz,,,,,Hazaragi,Individual,Living,,ira,haz
hba,https://iso639-3.sil.org/code/hba,,,,,Hamba,Individual,Living,,bnt,hba
hbb,https://iso639-3.sil.org/code/hbb,,,,,Huba,Individual,Living,,afa,hbb
hbn,https://iso639-3.sil.org/code/hbn,,,,,Heiban,Individual,Living,,nic,hbn
hbo,https://iso639-3.sil.org/code/hbo,,,,,Ancient Hebrew,Individual,Historical,,heb,hbo
hbs,https://iso639-3.sil.org/code/hbs,,,,sh (deprecated),Serbo-Croatian,Macrolanguage,Living,,,hbs
hbu,https://iso639-3.sil.org/code/hbu,,,,,Habu,Individual,Living,,map,hbu
hca,https://iso639-3.sil.org/code/hca,,,,,Andaman Creole Hindi,Individual,Living,,crp,hca
hch,https://iso639-3.sil.org/code/hch,,,,,Huichol,Individual,Living,,cai,hch
